Country,Ages,P.2000,P.2005,P.2010,P.2015,P.2018,P.2019,SE.2010,SE.2015,SE.2018,SE.2019
OECD average,25_64,22.26970052,26.48003774,30.55254271,34.30805527,37.33859625,38.37267886,0.069400207,0.042174725,0.036888925,0.041588006
Australia ,25_64,27.475746,31.691153,37.604309,42.888756,45.727478,47.129978,,0.30170026,0.29340252,0.30756524
Austria,25_64,,24.639351,27.743721,30.550726,32.711426,33.773777,0.14174764,0.14866741,0.15005822,0.1508747
Belgium ,25_64,27.084993,31.045088,34.989502,36.857422,40.638546,40.67009,,0.20858119,0.17342208,0.17104405
Canada,25_64,40.105782,45.976749,50.311695,55.17366,57.888363,59.374844,0.22,0.2,0.22,0.24
Chile,25_64,,,,22.475199,,23.819326,,0.1141098,,0.06919897
Colombia,25_64,,,,21.562889,23.391361,,,0.06654485,0.0685761,
Czech Republic ,25_64,10.963162,13.058269,16.764982,22.186741,24.262077,24.212393,,0.12303745,0.13140784,0.13318741
Denmark,25_64,25.777601,33.544121,33.002644,37.095581,39.44791,40.353836,0.20005111,0.21016347,0.21612696,0.21968746
Estonia,25_64,28.669167,33.025089,35.423084,38.030697,41.130722,41.368298,0.46146554,0.41968882,0.39000452,0.38973984
Finland,25_64,32.614372,34.629433,38.146343,42.742619,45.188133,45.93438,,0.30441225,0.19835258,0.20192108
France,25_64,21.58481,25.425774,29.006897,34.085361,36.897491,37.904724,,0.09297941,0.09655256,0.09854462
Germany ,25_64,23.498837,24.552816,26.609148,27.638235,29.065134,29.900126,,0.07357089,0.07131741,0.07186318
Greece ,25_64,17.672335,21.472097,24.744848,29.057495,31.739904,31.890486,0.10694734,0.13043219,0.13421758,0.13983898
Hungary,25_64,14.041859,17.083904,20.121918,24.242552,25.101177,25.981535,,0.11918992,0.13038705,0.13567777
Iceland,25_64,,29.471401,32.632442,38.841152,43.749649,45.038918,0.49658033,0.53137392,0.52120644,0.5393011
Ireland,25_64,21.613003,29.074234,37.584061,42.806118,46.935135,47.306587,,0.15948775,0.1907241,0.18827263
Israel,25_64,,43.047825,45.560074,48.824478,50.201576,50.246292,,,0.10456894,0.10541243
Italy ,25_64,9.3770475,12.224514,14.802574,17.546457,19.323732,19.632418,,0.06927949,0.07345945,0.07456774
Japan ,25_64,33.615494,39.939026,44.809975,49.541573,51.928062,52.67799,,,0.192919552,0.19278603
"Korea, Republic of",25_64,23.849094,31.619953,39.044632,45.356678,49.008511,50.03104,,,0.2531008,0.253150528
Latvia,25_64,18.218046,20.293005,26.946114,31.591949,33.939289,35.707733,0.31684953,0.31987816,0.32833913,0.33994237
Lithuania ,25_64,41.801403,26.547928,32.440029,38.724106,41.654594,43.149418,0.24729048,0.26894215,0.261875,0.27065951
Luxembourg ,25_64,18.284153,26.549366,35.475895,39.794865,43.886856,51.642971,,0.37362307,0.27044842,0.68578529
Mexico,25_64,14.635047,12.723972,14.654601,16.278801,17.979799,18.259947,0.08248423,0.08482397,0.08837903,0.08713537
Netherlands,25_64,23.375116,30.11544,32.389164,35.330765,38.343895,40.385136,,,0.09529494,0.0969867
New Zealand,25_64,,,,34.040531,39.292675,39.065784,,,0.35886607,0.34544525
Norway,25_64,,32.692787,37.284328,42.706734,43.575832,44.129421,,0.21481255,0.20722814,0.20849665
Poland,25_64,11.36204,16.926928,22.468407,27.747267,30.919592,32.014767,,,0.119424521,0.13205907
Portugal,25_64,8.8429394,12.844431,15.445285,22.857506,24.984337,26.284128,,0.14084522,0.15346546,0.16064745
Slovakia,25_64,10.37334,14.004099,17.327984,21.149881,24.58342,25.786274,,0.35854125,0.3928723,0.40439123
Slovenia,25_64,15.726464,20.171976,23.716619,30.173296,32.455208,33.283279,,0.24541779,0.24830285,0.258919981
Spain ,25_64,22.704889,28.518797,31.016668,35.081161,37.252804,38.596992,0.07525019,0.08009382,0.08210146,0.08243376
Sweden ,25_64,30.122953,29.645443,33.868935,39.786552,43.247318,43.970543,0.10608529,0.12191939,0.14927071,0.18473433
Switzerland ,25_64,24.177282,28.763943,33.881504,39.782719,43.744415,44.412537,0.16381618,0.16872951,0.17470658,0.17706715
Turkey,25_64,8.3461838,10.23861,13.118464,18.020138,20.780222,21.951159,,,0.080931417,0.08335425
United Kingdom,25_64,25.683083,29.709032,38.187191,44.197987,45.781677,47.189125,,0.22516821,0.23692559,0.24013145
United States,25_64,36.494774,39.054729,41.662415,44.629398,47.431145,48.340187,0.1495807,0.1553013,0.16469187,0.16479367
China,25_64,,,9.6811743,,,,,,,
Russia,25_64,,,50.371468,52.42807,56.725521,,0.06443554,0.06334117,0.21842161,
OECD average,25_34,26.38134209,32.40999735,37.75041485,41.76430141,44.58185869,45.27025589,0.153431584,0.093811644,0.081692656,0.090339333
Australia ,25_34,31.372517,38.098312,44.374836,48.466274,51.393173,52.478458,,0.60383779,0.57147735,0.6064415
Austria,25_34,,30.570971,33.863789,38.626846,40.458271,41.610401,0.33345416,0.34991193,0.34626037,0.34776795
Belgium ,25_34,36.020634,40.605904,43.801159,43.144318,47.397144,47.282982,,0.45398214,0.38601735,0.3808603
Canada,25_34,48.400093,53.694931,56.169838,59.182831,61.754246,62.965115,0.43,0.37,0.4,0.42
Chile,25_34,,,,29.874573,,29.873518,,0.24468324,,0.13391846
Colombia,25_34,,,,27.445988,28.959703,,,0.12897052,0.13241227,
Czech Republic ,25_34,11.199056,14.231308,22.630354,31.010311,33.328793,32.580391,,0.30894116,0.32599604,0.32853252
